id;date;details;status;payment_method;payment_date;payment_amount
1;2023-01-17T21:52:08;RAM systemic;PAID;CASH_ON_DELIVERY;2023-01-18T02:18:03;5801
2;2023-01-17T16:06:19;Bourgogne calculating model;ISSUED;CREDIT_CARD;2023-01-17T18:21:16;75071
3;2023-01-17T14:52:17;program SQL;CANCELLED;CREDIT_CARD;2023-01-17T13:31:41;79944
4;2023-01-18T01:46:24;Soft b;PAID;CASH_ON_DELIVERY;2023-01-17T23:02:05;8068
5;2023-01-18T05:53:16;Bhutanese;CANCELLED;PAYPAL;2023-01-18T07:42:49;87472
6;2023-01-17T18:29:44;Specialiste Shirt Boétie;CANCELLED;PAYPAL;2023-01-18T10:14:11;62834
7;2023-01-18T06:02:06;program transmitting parse;PAID;CREDIT_CARD;2023-01-17T21:02:24;38509
8;2023-01-17T20:43:42;a iterate;PAID;CREDIT_CARD;2023-01-17T17:00:30;6085
9;2023-01-17T13:37:25;black Corse;PAID;CREDIT_CARD;2023-01-17T16:19:30;11254
10;2023-01-18T02:52:46;a Zadkine;CANCELLED;PAYPAL;2023-01-17T16:09:54;85804
