id;placed_date;status;invoice_id;code
1;2023-01-18T05:15:46;COMPLETED;11446;lavender
2;2023-01-18T08:53:46;CANCELLED;64871;e-enable one-to-one
3;2023-01-17T15:56:06;COMPLETED;91159;background out-of-the-box withdrawal
4;2023-01-17T14:09:39;COMPLETED;47588;Concrete
5;2023-01-17T19:12:05;CANCELLED;63689;Car hybrid Generic
6;2023-01-17T18:26:13;CANCELLED;37922;harness Hongrie Ukraine
7;2023-01-18T03:33:38;COMPLETED;15762;Visionary
8;2023-01-17T16:20:23;CANCELLED;1365;Credit Soft Cotton
9;2023-01-18T07:54:56;CANCELLED;52097;Implemented
10;2023-01-18T06:10:35;COMPLETED;61775;solution protocol
